"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8541","testLoginFlows","UI Regression Suite","Sun May 24 03:35:55 UTC 2026","passed","Sun May 24 03:36:04 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","946","API: Verify Filter product by Price range","API Regression Suite","Sun May 24 03:33:30 UTC 2026","passed","Sun May 24 03:33:31 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","10997","Test Login Flow","UI Regression Suite","Sun May 24 03:35:05 UTC 2026","passed","Sun May 24 03:35:16 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","6012","testLoginFlows","UI Regression Suite","Sun May 24 03:36:37 UTC 2026","passed","Sun May 24 03:36:43 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","7753","testLoginFlows","UI Regression Suite","Sun May 24 03:36:05 UTC 2026","passed","Sun May 24 03:36:12 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","2604","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","Sun May 24 03:33:39 UTC 2026","failed","Sun May 24 03:33:42 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","10635","Test Login Flow","UI Regression Suite","Sun May 24 03:34:43 UTC 2026","passed","Sun May 24 03:34:54 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","4456","API: Verify create order successfully","API Regression Suite","Sun May 24 03:33:26 UTC 2026","failed","Sun May 24 03:33:30 UTC 2026","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","7007","testLoginFlows","UI Regression Suite","Sun May 24 03:36:30 UTC 2026","passed","Sun May 24 03:36:37 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","11287","Test Login Flow","UI Regression Suite","Sun May 24 03:34:31 UTC 2026","passed","Sun May 24 03:34:43 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","1790","API: Verify Product detail consistency","API Regression Suite","Sun May 24 03:33:32 UTC 2026","passed","Sun May 24 03:33:34 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
