"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3463","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","11629","Test Login Flow","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","2550","API: Verify User can add new shipping address via API","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","8394","Verify login functionality using ENTER key","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","3497","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","4210","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","918","Test Login via API","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","11114","Test Login Flow","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","64390","DDT: Checkout with multiple data sets","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","4314","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-07-16","failed","2026-07-16","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","6642","API: Verify create order successfully","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","13520","Verify User can add a product to the cart","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","7196","testLoginFlows","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","46799","Test add new product","UI Regression Suite","2026-07-16","broken","2026-07-16","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","822","API: Verify User can get Address list ","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","4138","API: Verify User can delete all shipping address","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","5077","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","977","API: Verify Filter product by Price range","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","931","API: Verify get all products and pagination","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","964","API: Verify Search product by keyword","API Regression Suite","2026-07-16","failed","2026-07-16","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","30627","DDT: Checkout with multiple data sets","UI Regression Suite","2026-07-16","broken","2026-07-16","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","7905","testLoginFlows","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","10996","Test Login Flow","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","6333","testLoginFlows","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","46551","Test add new product","UI Regression Suite","2026-07-16","broken","2026-07-16","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","9973","Test Login Flow","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","52736","Test add new product","UI Regression Suite","2026-07-16","broken","2026-07-16","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","8263","Verify login fail with invalid credentials","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFail"
"","17448","testLoginFlows","UI Regression Suite","2026-07-16","failed","2026-07-16","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","14631","Verify Product details in Cart Page","UI Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","1823","API: Verify Product detail consistency","API Regression Suite","2026-07-16","passed","2026-07-16","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
