"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5247","Verify Forgot Password Link","UI Regression Suite","Wed May 13 03:02:06 UTC 2026","passed","Wed May 13 03:02:11 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","3318","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","Wed May 13 02:58:50 UTC 2026","passed","Wed May 13 02:58:53 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","844","API: Verify Search product by keyword","API Regression Suite","Wed May 13 02:58:40 UTC 2026","failed","Wed May 13 02:58:41 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","949","API: Verify get all products and pagination","API Regression Suite","Wed May 13 02:58:37 UTC 2026","passed","Wed May 13 02:58:38 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","10771","Verify User can add a product to the cart","UI Regression Suite","Wed May 13 03:00:45 UTC 2026","passed","Wed May 13 03:00:56 UTC 2026","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","10552","Test Login Flow","UI Regression Suite","Wed May 13 03:00:01 UTC 2026","passed","Wed May 13 03:00:11 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","11956","Test Login Flow","UI Regression Suite","Wed May 13 02:59:38 UTC 2026","passed","Wed May 13 02:59:49 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","17122","testLoginFlows","UI Regression Suite","Wed May 13 03:01:35 UTC 2026","failed","Wed May 13 03:01:52 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","4883","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","Wed May 13 02:58:54 UTC 2026","passed","Wed May 13 02:58:59 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","7609","Verify login fail with invalid credentials","UI Regression Suite","Wed May 13 03:02:12 UTC 2026","passed","Wed May 13 03:02:19 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFail"
