"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10084","Test Login Flow","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","11380","Test Login Flow","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","12079","Test Login Flow","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","2662","API: Verify User can add new shipping address via API","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","4488","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","6229","testLoginFlows","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","16954","Verify Product details in Cart Page","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","46644","Test add new product","UI Regression Suite","2026-06-06","broken","2026-06-06","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","11350","Test Login Flow","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","2717","API: Get Cart List: Verify Product Name, Price","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","31761","DDT: Checkout with multiple data sets","UI Regression Suite","2026-06-06","broken","2026-06-06","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","935","Test Login via API","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","947","API: Verify Search product by keyword","API Regression Suite","2026-06-06","failed","2026-06-06","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","905","Test Register User via API","API Regression Suite","2026-06-06","failed","2026-06-06","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","7888","Verify login fail with invalid credentials","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFail"
"","3539","API: Verify User can delete all shipping address","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","6622","API: Verify create order successfully","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","10221","Verify Search functionality","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","46182","Test add new product","UI Regression Suite","2026-06-06","broken","2026-06-06","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","873","API: Verify User can get Address list ","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","10822","Test Login Flow","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","3578","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","5562","Verify Forgot Password Link","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","4499","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-06-06","failed","2026-06-06","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","1933","API: Verify Product detail consistency","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","17649","testLoginFlows","UI Regression Suite","2026-06-06","failed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","991","API: Verify get all products and pagination","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","12654","Verify User can add a product to the cart","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","5433","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","46359","Test add new product","UI Regression Suite","2026-06-06","broken","2026-06-06","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","7083","testLoginFlows","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","7255","testLoginFlows","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","8267","Verify login functionality using ENTER key","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","3635","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","8812","testLoginFlows","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","63827","DDT: Checkout with multiple data sets","UI Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","1011","API: Verify Filter product by Price range","API Regression Suite","2026-06-06","passed","2026-06-06","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
