"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3256","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","Sat May 02 02:40:19 UTC 2026","passed","Sat May 02 02:40:22 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","10169","Verify User can add a product to the cart","UI Regression Suite","Sat May 02 02:41:43 UTC 2026","passed","Sat May 02 02:41:53 UTC 2026","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","2076","API: Get Cart List: Verify Product Name, Price","API Regression Suite","Sat May 02 02:40:08 UTC 2026","failed","Sat May 02 02:40:10 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","10041","Test Register User via API","API Regression Suite","Sat May 02 02:39:38 UTC 2026","failed","Sat May 02 02:39:48 UTC 2026","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","10224","Test Login Flow","UI Regression Suite","Sat May 02 02:41:09 UTC 2026","passed","Sat May 02 02:41:19 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","3415","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","Sat May 02 02:40:04 UTC 2026","failed","Sat May 02 02:40:08 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","6551","testLoginFlows","UI Regression Suite","Sat May 02 02:42:23 UTC 2026","passed","Sat May 02 02:42:30 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","2855","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","Sat May 02 02:40:16 UTC 2026","passed","Sat May 02 02:40:19 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","58466","DDT: Checkout with multiple data sets","UI Regression Suite","Sat May 02 02:40:46 UTC 2026","passed","Sat May 02 02:41:44 UTC 2026","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","2623","API: Verify User can delete all shipping address","API Regression Suite","Sat May 02 02:40:13 UTC 2026","passed","Sat May 02 02:40:16 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","5509","testLoginFlows","UI Regression Suite","Sat May 02 02:42:54 UTC 2026","passed","Sat May 02 02:43:00 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","10392","Test Login Flow","UI Regression Suite","Sat May 02 02:40:37 UTC 2026","passed","Sat May 02 02:40:47 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","3432","API: Verify create order successfully","API Regression Suite","Sat May 02 02:39:55 UTC 2026","failed","Sat May 02 02:39:58 UTC 2026","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","2047","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","Sat May 02 02:40:01 UTC 2026","failed","Sat May 02 02:40:04 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","865","API: Verify Filter product by Price range","API Regression Suite","Sat May 02 02:39:49 UTC 2026","passed","Sat May 02 02:39:50 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","804","Test Login via API","API Regression Suite","Sat May 02 02:39:48 UTC 2026","passed","Sat May 02 02:39:49 UTC 2026","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","1706","API: Verify Product detail consistency","API Regression Suite","Sat May 02 02:39:51 UTC 2026","passed","Sat May 02 02:39:52 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","44707","Test add new product","UI Regression Suite","Sat May 02 02:42:39 UTC 2026","broken","Sat May 02 02:43:24 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","752","API: Verify Search product by keyword","API Regression Suite","Sat May 02 02:39:52 UTC 2026","failed","Sat May 02 02:39:53 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","7287","Verify login functionality using ENTER key","UI Regression Suite","Sat May 02 02:43:12 UTC 2026","passed","Sat May 02 02:43:20 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","9414","Test Login Flow","UI Regression Suite","Sat May 02 02:41:19 UTC 2026","passed","Sat May 02 02:41:29 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","9935","Test Login Flow","UI Regression Suite","Sat May 02 02:40:48 UTC 2026","passed","Sat May 02 02:40:58 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","1413","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","Sat May 02 02:39:59 UTC 2026","failed","Sat May 02 02:40:01 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","8375","testLoginFlows","UI Regression Suite","Sat May 02 02:42:15 UTC 2026","passed","Sat May 02 02:42:23 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","10132","Test Login Flow","UI Regression Suite","Sat May 02 02:40:58 UTC 2026","passed","Sat May 02 02:41:08 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","820","API: Verify get all products and pagination","API Regression Suite","Sat May 02 02:39:50 UTC 2026","passed","Sat May 02 02:39:51 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","4922","Verify Forgot Password Link","UI Regression Suite","Sat May 02 02:43:00 UTC 2026","passed","Sat May 02 02:43:05 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","16779","testLoginFlows","UI Regression Suite","Sat May 02 02:42:30 UTC 2026","failed","Sat May 02 02:42:47 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","13439","Verify Product details in Cart Page","UI Regression Suite","Sat May 02 02:41:29 UTC 2026","passed","Sat May 02 02:41:43 UTC 2026","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","8058","Verify Search functionality","UI Regression Suite","Sat May 02 02:40:37 UTC 2026","passed","Sat May 02 02:40:45 UTC 2026","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","2011","API: Verify User can add new shipping address via API","API Regression Suite","Sat May 02 02:40:11 UTC 2026","passed","Sat May 02 02:40:13 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","29621","DDT: Checkout with multiple data sets","UI Regression Suite","Sat May 02 02:41:45 UTC 2026","broken","Sat May 02 02:42:14 UTC 2026","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","659","API: Verify User can get Address list ","API Regression Suite","Sat May 02 02:40:19 UTC 2026","passed","Sat May 02 02:40:19 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","6475","Verify login fail with invalid credentials","UI Regression Suite","Sat May 02 02:43:05 UTC 2026","passed","Sat May 02 02:43:12 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFail"
"","6419","testLoginFlows","UI Regression Suite","Sat May 02 02:42:48 UTC 2026","passed","Sat May 02 02:42:54 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","44831","Test add new product","UI Regression Suite","Sat May 02 02:41:54 UTC 2026","broken","Sat May 02 02:42:38 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","44601","Test add new product","UI Regression Suite","Sat May 02 02:43:24 UTC 2026","broken","Sat May 02 02:44:09 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
