"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7380","testLoginFlows","High Speed Suite","Thu Feb 05 17:23:30 UTC 2026","passed","Thu Feb 05 17:23:38 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","8481","Verify login functionality using ENTER key","High Speed Suite","Thu Feb 05 17:24:06 UTC 2026","passed","Thu Feb 05 17:24:15 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","1236","Test Register User via API","High Speed Suite","Thu Feb 05 17:23:01 UTC 2026","failed","Thu Feb 05 17:23:02 UTC 2026","org.example.tests.api.AuthApiTest","Run on Chrome","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","11169","Login via API and open Web","High Speed Suite","Thu Feb 05 17:23:01 UTC 2026","passed","Thu Feb 05 17:23:12 UTC 2026","org.example.tests.hybrid.LoginViaApiTest","Run on Chrome","org.example.tests.hybrid.LoginViaApiTest","loginByAPIAndOpenWeb"
"","11099","Test Login Flow","High Speed Suite","Thu Feb 05 17:22:39 UTC 2026","passed","Thu Feb 05 17:22:50 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","4601","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","High Speed Suite","Thu Feb 05 17:21:34 UTC 2026","passed","Thu Feb 05 17:21:39 UTC 2026","org.example.tests.api.AddressApiTest","Run on Chrome","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","10023","Test Login Flow","High Speed Suite","Thu Feb 05 17:22:51 UTC 2026","passed","Thu Feb 05 17:23:01 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","5413","testLoginFlows","High Speed Suite","Thu Feb 05 17:23:46 UTC 2026","passed","Thu Feb 05 17:23:51 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","8342","API: Verify User can delete all shipping address","High Speed Suite","Thu Feb 05 17:21:19 UTC 2026","passed","Thu Feb 05 17:21:28 UTC 2026","org.example.tests.api.AddressApiTest","Run on Chrome","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","13746","Verify Product details in Cart Page","High Speed Suite","Thu Feb 05 17:21:47 UTC 2026","passed","Thu Feb 05 17:22:01 UTC 2026","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
