"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8026","Verify login fail with invalid credentials","High Speed Suite","Wed Jan 21 01:55:22 UTC 2026","passed","Wed Jan 21 01:55:30 UTC 2026","org.example.tests.LoginTest","Run on firefox","org.example.tests.LoginTest","testLoginFail"
"","11462","Test Login Flow","High Speed Suite","Wed Jan 21 01:51:14 UTC 2026","passed","Wed Jan 21 01:51:25 UTC 2026","org.example.tests.RegistrationTest","Run on firefox","org.example.tests.RegistrationTest","testRegisterFlow"
"","7545","testLoginFlows","High Speed Suite","Wed Jan 21 01:54:23 UTC 2026","passed","Wed Jan 21 01:54:31 UTC 2026","org.example.tests.LoginTest","Run on firefox","org.example.tests.LoginTest","testLoginFlows"
"","34781","DDT: Checkout with multiple data sets","High Speed Suite","Wed Jan 21 01:53:08 UTC 2026","broken","Wed Jan 21 01:53:43 UTC 2026","org.example.tests.CheckoutTest","Run on Edge","org.example.tests.CheckoutTest","testCheckoutDataDriven"
"","6626","testLoginFlows","High Speed Suite","Wed Jan 21 01:52:39 UTC 2026","passed","Wed Jan 21 01:52:46 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","0","Test Login Flow","High Speed Suite","Wed Jan 21 01:51:18 UTC 2026","skipped","Wed Jan 21 01:51:18 UTC 2026","org.example.tests.RegistrationTest","Run on Edge","org.example.tests.RegistrationTest","testRegisterFlow"
"","7484","testLoginFlows","High Speed Suite","Wed Jan 21 01:52:31 UTC 2026","passed","Wed Jan 21 01:52:39 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","49541","Test add new product","High Speed Suite","Wed Jan 21 01:53:31 UTC 2026","failed","Wed Jan 21 01:54:20 UTC 2026","org.example.tests.AddProductTest","Run on firefox","org.example.tests.AddProductTest","testCreateProduct"
"","82269","DDT: Checkout with multiple data sets","High Speed Suite","Wed Jan 21 01:48:03 UTC 2026","failed","Wed Jan 21 01:49:25 UTC 2026","org.example.tests.CheckoutTest","Run on firefox","org.example.tests.CheckoutTest","testCheckoutDataDriven"
"","7011","Verify login functionality using ENTER key","High Speed Suite","Wed Jan 21 01:55:33 UTC 2026","passed","Wed Jan 21 01:55:40 UTC 2026","org.example.tests.LoginTest","Run on firefox","org.example.tests.LoginTest","testLoginWithEnterKey"
