"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52210","Test add new product","High Speed Suite","Mon Jan 26 01:57:59 UTC 2026","failed","Mon Jan 26 01:58:51 UTC 2026","org.example.tests.AddProductTest","Run on firefox","org.example.tests.AddProductTest","testCreateProduct"
"","19114","E2E: Guest User -> Cart -> Force Login -> Checkout -> Order Success","High Speed Suite","Mon Jan 26 01:56:26 UTC 2026","broken","Mon Jan 26 01:56:45 UTC 2026","org.example.tests.CheckoutTest","Run on firefox","org.example.tests.CheckoutTest","testGuestCheckoutWithLoginRedirect"
"","15993","Verify User can add a product to the cart","High Speed Suite","Mon Jan 26 01:53:52 UTC 2026","passed","Mon Jan 26 01:54:08 UTC 2026","org.example.tests.AddToCartTest","Run on Chrome","org.example.tests.AddToCartTest","testAddProductToCart"
"","5542","testLoginFlows","High Speed Suite","Mon Jan 26 01:58:15 UTC 2026","passed","Mon Jan 26 01:58:20 UTC 2026","org.example.tests.LoginTest","Run on Edge","org.example.tests.LoginTest","testLoginFlows"
"","30692","E2E: Guest User -> Cart -> Force Login -> Checkout -> Order Success","High Speed Suite","Mon Jan 26 01:57:13 UTC 2026","broken","Mon Jan 26 01:57:43 UTC 2026","org.example.tests.CheckoutTest","Run on Edge","org.example.tests.CheckoutTest","testGuestCheckoutWithLoginRedirect"
"","9282","testLoginFlows","High Speed Suite","Mon Jan 26 01:59:00 UTC 2026","passed","Mon Jan 26 01:59:09 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","24694","Test add new product","High Speed Suite","Mon Jan 26 01:57:42 UTC 2026","passed","Mon Jan 26 01:58:07 UTC 2026","org.example.tests.AddProductTest","Run on Chrome","org.example.tests.AddProductTest","testCreateProduct"
"","12628","Verify Product details in Cart Page","High Speed Suite","Mon Jan 26 01:56:48 UTC 2026","passed","Mon Jan 26 01:57:01 UTC 2026","org.example.tests.CartTest","Run on firefox","org.example.tests.CartTest","testProductAddToCart"
"","5073","Verify Forgot Password Link","High Speed Suite","Mon Jan 26 01:59:37 UTC 2026","passed","Mon Jan 26 01:59:42 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testForgotPasswordLink"
"","10301","Verify Search functionality","High Speed Suite","Mon Jan 26 01:54:20 UTC 2026","passed","Mon Jan 26 01:54:30 UTC 2026","org.example.tests.SearchTest","Run on firefox","org.example.tests.SearchTest","testSearchProduct"
"","1","Test Login Flow","High Speed Suite","Mon Jan 26 01:57:04 UTC 2026","skipped","Mon Jan 26 01:57:04 UTC 2026","org.example.tests.RegistrationTest","Run on firefox","org.example.tests.RegistrationTest","testRegisterFlow"
"","6872","testLoginFlows","High Speed Suite","Mon Jan 26 01:58:00 UTC 2026","passed","Mon Jan 26 01:58:06 UTC 2026","org.example.tests.LoginTest","Run on Edge","org.example.tests.LoginTest","testLoginFlows"
"","52199","Test add new product","High Speed Suite","Mon Jan 26 01:59:49 UTC 2026","failed","Mon Jan 26 02:00:41 UTC 2026","org.example.tests.AddProductTest","Run on firefox","org.example.tests.AddProductTest","testCreateProduct"
"","30427","DDT: Checkout with multiple data sets","High Speed Suite","Mon Jan 26 01:56:42 UTC 2026","broken","Mon Jan 26 01:57:12 UTC 2026","org.example.tests.CheckoutTest","Run on Edge","org.example.tests.CheckoutTest","testCheckoutDataDriven"
"","7137","Verify login fail with invalid credentials","High Speed Suite","Mon Jan 26 02:01:39 UTC 2026","passed","Mon Jan 26 02:01:46 UTC 2026","org.example.tests.LoginTest","Run on firefox","org.example.tests.LoginTest","testLoginFail"
"","6997","testLoginFlows","High Speed Suite","Mon Jan 26 01:59:10 UTC 2026","passed","Mon Jan 26 01:59:17 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","6673","Verify login functionality using ENTER key","High Speed Suite","Mon Jan 26 02:01:49 UTC 2026","passed","Mon Jan 26 02:01:55 UTC 2026","org.example.tests.LoginTest","Run on firefox","org.example.tests.LoginTest","testLoginWithEnterKey"
"","26852","Test add new product","High Speed Suite","Mon Jan 26 01:58:07 UTC 2026","passed","Mon Jan 26 01:58:34 UTC 2026","org.example.tests.AddProductTest","Run on Chrome","org.example.tests.AddProductTest","testCreateProduct"
"","23504","Test add new product","High Speed Suite","Mon Jan 26 01:58:21 UTC 2026","passed","Mon Jan 26 01:58:44 UTC 2026","org.example.tests.AddProductTest","Run on Edge","org.example.tests.AddProductTest","testCreateProduct"
"","26541","Test add new product","High Speed Suite","Mon Jan 26 01:59:11 UTC 2026","passed","Mon Jan 26 01:59:38 UTC 2026","org.example.tests.AddProductTest","Run on Edge","org.example.tests.AddProductTest","testCreateProduct"
"","6649","Verify login functionality using ENTER key","High Speed Suite","Mon Jan 26 01:59:50 UTC 2026","passed","Mon Jan 26 01:59:56 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginWithEnterKey"
"","6782","Verify Search functionality","High Speed Suite","Mon Jan 26 01:54:09 UTC 2026","passed","Mon Jan 26 01:54:16 UTC 2026","org.example.tests.SearchTest","Run on Chrome","org.example.tests.SearchTest","testSearchProduct"
"","6752","Verify login fail with invalid credentials","High Speed Suite","Mon Jan 26 01:59:42 UTC 2026","passed","Mon Jan 26 01:59:49 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFail"
"","29604","E2E: Guest User -> Cart -> Force Login -> Checkout -> Order Success","High Speed Suite","Mon Jan 26 01:56:15 UTC 2026","broken","Mon Jan 26 01:56:45 UTC 2026","org.example.tests.CheckoutTest","Run on Chrome","org.example.tests.CheckoutTest","testGuestCheckoutWithLoginRedirect"
"","9025","Test Login Flow","High Speed Suite","Mon Jan 26 01:57:47 UTC 2026","passed","Mon Jan 26 01:57:56 UTC 2026","org.example.tests.RegistrationTest","Run on firefox","org.example.tests.RegistrationTest","testRegisterFlow"
"","10151","Test Login Flow","High Speed Suite","Mon Jan 26 01:57:22 UTC 2026","passed","Mon Jan 26 01:57:32 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
"","9672","Verify User can add a product to the cart","High Speed Suite","Mon Jan 26 01:54:49 UTC 2026","passed","Mon Jan 26 01:54:59 UTC 2026","org.example.tests.AddToCartTest","Run on Edge","org.example.tests.AddToCartTest","testAddProductToCart"
"","10864","Test Login Flow","High Speed Suite","Mon Jan 26 01:54:10 UTC 2026","passed","Mon Jan 26 01:54:21 UTC 2026","org.example.tests.RegistrationTest","Run on Edge","org.example.tests.RegistrationTest","testRegisterFlow"
"","11309","Test Login Flow","High Speed Suite","Mon Jan 26 01:57:10 UTC 2026","passed","Mon Jan 26 01:57:21 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
