"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10666","Test Login Flow","UI Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","706","API: Verify get all products and pagination","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","3485","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","2187","API: Verify User can add new shipping address via API","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","9879","Test Login Flow","UI Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","769","Test Login via API","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","3083","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","3523","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-08-04","failed","2026-08-04","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","16773","testLoginFlows","UI Regression Suite","2026-08-04","failed","2026-08-04","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","2238","API: Get Cart List: Verify Product Name, Price","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","5561","Verify Forgot Password Link","UI Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","11470","Test Login Flow","UI Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","2829","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","2026-08-04","passed","2026-08-04","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","45935","Test add new product","UI Regression Suite","2026-08-04","broken","2026-08-04","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
