"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1586","API: Verify Product detail consistency","API Regression Suite","Sat May 09 02:46:55 UTC 2026","passed","Sat May 09 02:46:56 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","58696","DDT: Checkout with multiple data sets","UI Regression Suite","Sat May 09 02:48:14 UTC 2026","passed","Sat May 09 02:49:13 UTC 2026","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","2800","API: Verify User can delete all shipping address","API Regression Suite","Sat May 09 02:47:32 UTC 2026","passed","Sat May 09 02:47:35 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","11854","Test Login Flow","UI Regression Suite","Sat May 09 02:48:05 UTC 2026","passed","Sat May 09 02:48:17 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","10577","Test Login Flow","UI Regression Suite","Sat May 09 02:48:17 UTC 2026","passed","Sat May 09 02:48:28 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","29824","DDT: Checkout with multiple data sets","UI Regression Suite","Sat May 09 02:49:13 UTC 2026","broken","Sat May 09 02:49:43 UTC 2026","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","16734","testLoginFlows","UI Regression Suite","Sat May 09 02:49:59 UTC 2026","failed","Sat May 09 02:50:16 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","2195","API: Verify User can add new shipping address via API","API Regression Suite","Sat May 09 02:47:30 UTC 2026","passed","Sat May 09 02:47:32 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","2854","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","Sat May 09 02:47:05 UTC 2026","passed","Sat May 09 02:47:08 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","806","API: Verify get all products and pagination","API Regression Suite","Sat May 09 02:46:54 UTC 2026","passed","Sat May 09 02:46:55 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
