"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","824","API: Verify get all products and pagination","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","2526","API: Verify User can delete all shipping address","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","2730","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","4411","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","1431","API: Verify Product detail consistency","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","699","Test Login via API","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","6459","testLoginFlows","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","45167","Test add new product","UI Regression Suite","2026-06-08","broken","2026-06-08","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","2109","API: Get Cart List: Verify Product Name, Price","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","3539","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-06-08","failed","2026-06-08","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","2027","API: Verify User can add new shipping address via API","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","765","API: Verify Search product by keyword","API Regression Suite","2026-06-08","failed","2026-06-08","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","9569","Test Login Flow","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","740","API: Verify User can get Address list ","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","4775","Verify Forgot Password Link","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","10953","Verify User can add a product to the cart","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","5285","API: Verify create order successfully","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","2832","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","7360","Verify Search functionality","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","3611","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","30302","DDT: Checkout with multiple data sets","UI Regression Suite","2026-06-08","broken","2026-06-08","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","9398","Test Login Flow","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","9238","Test Login Flow","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","16571","testLoginFlows","UI Regression Suite","2026-06-08","failed","2026-06-08","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","45145","Test add new product","UI Regression Suite","2026-06-08","broken","2026-06-08","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","7524","Verify login functionality using ENTER key","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","6595","testLoginFlows","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","5363","testLoginFlows","UI Regression Suite","2026-06-08","passed","2026-06-08","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
