"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46199","Test add new product","UI Regression Suite","2026-09-21","broken","2026-09-21","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","4074","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","955","Test Register User via API","API Regression Suite","2026-09-21","failed","2026-09-21","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","845","Test Login via API","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","2442","API: Get Cart List: Verify Product Name, Price","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","9638","Test Login Flow","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","12911","Verify User can add a product to the cart","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","10288","testLoginFlows","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","8514","Verify Search functionality","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","1924","API: Verify Product detail consistency","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","6930","testLoginFlows","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","9946","Test Login Flow","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","2905","API: Verify User can add new shipping address via API","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","3227","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","10950","Test Login Flow","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","65181","DDT: Checkout with multiple data sets","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","9954","Verify login functionality using ENTER key","UI Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","4023","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-09-21","failed","2026-09-21","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","6048","API: Verify create order successfully","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","977","API: Verify get all products and pagination","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","3433","API: Verify User can delete all shipping address","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","5787","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","2026-09-21","passed","2026-09-21","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","892","API: Verify Search product by keyword","API Regression Suite","2026-09-21","failed","2026-09-21","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
