"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45488","Test add new product","UI Regression Suite","2026-06-01","broken","2026-06-01","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","30802","DDT: Checkout with multiple data sets","UI Regression Suite","2026-06-01","broken","2026-06-01","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","14129","Verify Product details in Cart Page","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","6960","testLoginFlows","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","9590","Test Login Flow","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","891","Test Login via API","API Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","944","API: Verify Filter product by Price range","API Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","872","API: Verify Search product by keyword","API Regression Suite","2026-06-01","failed","2026-06-01","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","4487","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","788","API: Verify User can get Address list ","API Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","11344","Verify User can add a product to the cart","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","7851","Verify login functionality using ENTER key","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","11569","Test Login Flow","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","8264","Verify Search functionality","UI Regression Suite","2026-06-01","passed","2026-06-01","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
