"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2347","API: Get Cart List: Verify Product Name, Price","API Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","3186","API: Verify User can delete all shipping address","API Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","45216","Test add new product","UI Regression Suite","2026-06-25","broken","2026-06-25","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","9719","Test Login Flow","UI Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","6991","Verify Search functionality","UI Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","7736","Verify login functionality using ENTER key","UI Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","10264","Test Login Flow","UI Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","11592","Verify User can add a product to the cart","UI Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","16954","testLoginFlows","UI Regression Suite","2026-06-25","failed","2026-06-25","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","9649","Test Login Flow","UI Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","15125","API: Verify Filter product by Price range","API Regression Suite","2026-06-25","passed","2026-06-25","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","3866","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-06-25","failed","2026-06-25","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","824","API: Verify Search product by keyword","API Regression Suite","2026-06-25","failed","2026-06-25","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
