"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25522","Verify Product details in Cart Page","UI Regression Suite","Tue Apr 07 02:26:10 UTC 2026","passed","Tue Apr 07 02:26:36 UTC 2026","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","7747","Verify login fail with invalid credentials","UI Regression Suite","Tue Apr 07 02:28:04 UTC 2026","passed","Tue Apr 07 02:28:11 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFail"
"","3102","API: Verify User can add new shipping address via API","API Regression Suite","Tue Apr 07 02:25:01 UTC 2026","passed","Tue Apr 07 02:25:04 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","61124","DDT: Checkout with multiple data sets","UI Regression Suite","Tue Apr 07 02:26:49 UTC 2026","passed","Tue Apr 07 02:27:50 UTC 2026","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","8678","Verify Search functionality","UI Regression Suite","Tue Apr 07 02:26:10 UTC 2026","passed","Tue Apr 07 02:26:19 UTC 2026","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","46281","Test add new product","UI Regression Suite","Tue Apr 07 02:28:21 UTC 2026","broken","Tue Apr 07 02:29:07 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","2081","API: Verify Product detail consistency","API Regression Suite","Tue Apr 07 02:25:19 UTC 2026","passed","Tue Apr 07 02:25:21 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","11222","Test Login Flow","UI Regression Suite","Tue Apr 07 02:26:44 UTC 2026","passed","Tue Apr 07 02:26:55 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","7242","testLoginFlows","UI Regression Suite","Tue Apr 07 02:27:43 UTC 2026","passed","Tue Apr 07 02:27:51 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","46853","Test add new product","UI Regression Suite","Tue Apr 07 02:29:07 UTC 2026","broken","Tue Apr 07 02:29:54 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","3756","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","Tue Apr 07 02:25:35 UTC 2026","passed","Tue Apr 07 02:25:39 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","1120","API: Verify Filter product by Price range","API Regression Suite","Tue Apr 07 02:25:17 UTC 2026","passed","Tue Apr 07 02:25:18 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","7467","testLoginFlows","UI Regression Suite","Tue Apr 07 02:27:28 UTC 2026","passed","Tue Apr 07 02:27:35 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","11987","Test Login Flow","UI Regression Suite","Tue Apr 07 02:26:56 UTC 2026","passed","Tue Apr 07 02:27:08 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","30970","DDT: Checkout with multiple data sets","UI Regression Suite","Tue Apr 07 02:27:51 UTC 2026","broken","Tue Apr 07 02:28:22 UTC 2026","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","1041","Test Login via API","API Regression Suite","Tue Apr 07 02:25:32 UTC 2026","passed","Tue Apr 07 02:25:33 UTC 2026","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","834","API: Verify User can get Address list ","API Regression Suite","Tue Apr 07 02:25:12 UTC 2026","passed","Tue Apr 07 02:25:12 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","8781","testLoginFlows","UI Regression Suite","Tue Apr 07 02:27:19 UTC 2026","passed","Tue Apr 07 02:27:27 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","3753","API: Verify User can delete all shipping address","API Regression Suite","Tue Apr 07 02:25:04 UTC 2026","passed","Tue Apr 07 02:25:08 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","4262","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","Tue Apr 07 02:25:46 UTC 2026","failed","Tue Apr 07 02:25:50 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
"","1213","API: Verify get all products and pagination","API Regression Suite","Tue Apr 07 02:25:18 UTC 2026","passed","Tue Apr 07 02:25:19 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","2823","API: Get Cart List: Verify Product Name, Price","API Regression Suite","Tue Apr 07 02:25:52 UTC 2026","passed","Tue Apr 07 02:25:55 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","3643","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","Tue Apr 07 02:25:08 UTC 2026","passed","Tue Apr 07 02:25:12 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","5392","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","Tue Apr 07 02:25:39 UTC 2026","passed","Tue Apr 07 02:25:45 UTC 2026","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","876","Test Register User via API","API Regression Suite","Tue Apr 07 02:25:31 UTC 2026","failed","Tue Apr 07 02:25:32 UTC 2026","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","46189","Test add new product","UI Regression Suite","Tue Apr 07 02:29:54 UTC 2026","broken","Tue Apr 07 02:30:41 UTC 2026","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","11486","Test Login Flow","UI Regression Suite","Tue Apr 07 02:26:32 UTC 2026","passed","Tue Apr 07 02:26:44 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","12451","Verify User can add a product to the cart","UI Regression Suite","Tue Apr 07 02:26:36 UTC 2026","passed","Tue Apr 07 02:26:48 UTC 2026","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","898","API: Verify Search product by keyword","API Regression Suite","Tue Apr 07 02:25:21 UTC 2026","failed","Tue Apr 07 02:25:22 UTC 2026","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","5992","Verify Forgot Password Link","UI Regression Suite","Tue Apr 07 02:27:57 UTC 2026","passed","Tue Apr 07 02:28:03 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","7387","API: Verify create order successfully","API Regression Suite","Tue Apr 07 02:25:24 UTC 2026","passed","Tue Apr 07 02:25:31 UTC 2026","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","7253","testLoginFlows","UI Regression Suite","Tue Apr 07 02:27:36 UTC 2026","passed","Tue Apr 07 02:27:43 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","11860","Test Login Flow","UI Regression Suite","Tue Apr 07 02:26:20 UTC 2026","passed","Tue Apr 07 02:26:32 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","5916","testLoginFlows","UI Regression Suite","Tue Apr 07 02:27:51 UTC 2026","passed","Tue Apr 07 02:27:57 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","10065","Test Login Flow","UI Regression Suite","Tue Apr 07 02:27:08 UTC 2026","passed","Tue Apr 07 02:27:18 UTC 2026","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","4333","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","Tue Apr 07 02:25:12 UTC 2026","passed","Tue Apr 07 02:25:17 UTC 2026","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","8483","Verify login functionality using ENTER key","UI Regression Suite","Tue Apr 07 02:28:12 UTC 2026","passed","Tue Apr 07 02:28:20 UTC 2026","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
