"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7094","testLoginFlows","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","5062","API: Verify create order successfully","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.OrderApiTest","Core API Tests","org.example.tests.api.OrderApiTest","testCreateOrderSuccess"
"","4876","Verify Forgot Password Link","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testForgotPasswordLink"
"","9391","Test Login Flow","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","3691","API: Test change quantiy cart - Flow: Add Item -> Change Quantity -> Verify New Quantity","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testChangeCartQuantity"
"","830","API: Verify get all products and pagination","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetAllProduct"
"","61238","DDT: Checkout with multiple data sets","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","45582","Test add new product","UI Regression Suite","2026-09-12","broken","2026-09-12","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","4057","Verify User can update a shipping address (Flow: Create -> Get ID -> Update -> Verify)","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testUpdateShippingAddressSuccess"
"","5476","testLoginFlows","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","10199","Test Login Flow","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","6303","testLoginFlows","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","6100","API: Verify Filter product by Price range","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testFilterProductByPriceRange"
"","3758","API: Get Cart List: Verify Product Name, Price","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testGetCartList"
"","727","Test Register User via API","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testRegisterSuccess"
"","46075","Test add new product","UI Regression Suite","2026-09-12","broken","2026-09-12","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","2785","API: Verify User can delete all shipping address","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteAllShippingAddressSuccess"
"","1862","API: Verify Product detail consistency","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testGetProductDetail"
"","6750","Verify login fail with invalid credentials","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFail"
"","30433","DDT: Checkout with multiple data sets","UI Regression Suite","2026-09-12","broken","2026-09-12","org.example.tests.ui.CheckoutTest","Run on Chrome","org.example.tests.ui.CheckoutTest","testCheckoutDataDriven"
"","759","Test Login via API","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.AuthApiTest","Core API Tests","org.example.tests.api.AuthApiTest","testLoginSuccess"
"","12954","Verify Product details in Cart Page","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.CartTest","Run on Chrome","org.example.tests.ui.CartTest","testProductAddToCart"
"","7665","Verify Search functionality","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.SearchTest","Run on Chrome","org.example.tests.ui.SearchTest","testSearchProduct"
"","10339","Test Login Flow","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","8465","Verify login functionality using ENTER key","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginWithEnterKey"
"","10237","Verify User can add a product to the cart","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.AddToCartTest","Run on Chrome","org.example.tests.ui.AddToCartTest","testAddProductToCart"
"","2311","API: Verify User can add new shipping address via API","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testAddShippingAddressSuccess"
"","8889","testLoginFlows","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","3049","API: Test add to cart (Flow: Search Product -> Add to Cart -> Verify -> Clean)","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testAddToCart"
"","777","API: Verify Search product by keyword","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.ProductApiTest","Core API Tests","org.example.tests.api.ProductApiTest","testSearchProductByKeyword"
"","2767","API: Verify User can delete shipping address via API (CRUD: Add -> Get -> Delete Address)","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testDeleteShippingAddressSuccess"
"","45515","Test add new product","UI Regression Suite","2026-09-12","broken","2026-09-12","org.example.tests.ui.AddProductTest","Run on Chrome","org.example.tests.ui.AddProductTest","testCreateProduct"
"","17162","testLoginFlows","UI Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.ui.LoginTest","Run on Chrome","org.example.tests.ui.LoginTest","testLoginFlows"
"","10439","Test Login Flow","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","8829","Test Login Flow","UI Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.ui.RegistrationTest","Run on Chrome","org.example.tests.ui.RegistrationTest","testRegisterFlow"
"","684","API: Verify User can get Address list ","API Regression Suite","2026-09-12","passed","2026-09-12","org.example.tests.api.AddressApiTest","Core API Tests","org.example.tests.api.AddressApiTest","testGetAddressListSuccess"
"","5509","API: Test Delete Cart Item - Verify response when deleting non-existing ID","API Regression Suite","2026-09-12","failed","2026-09-12","org.example.tests.api.CartApiTest","Core API Tests","org.example.tests.api.CartApiTest","testDeleteCartItem_NotFound"
