"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7269","Verify login fail with invalid credentials","High Speed Suite","Sun Jan 11 17:46:04 UTC 2026","passed","Sun Jan 11 17:46:12 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFail"
"","6896","testLoginFlows","High Speed Suite","Sun Jan 11 17:44:14 UTC 2026","passed","Sun Jan 11 17:44:21 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","12503","Verify Product details in Cart Page","High Speed Suite","Sun Jan 11 17:43:32 UTC 2026","passed","Sun Jan 11 17:43:44 UTC 2026","org.example.tests.CartTest","Run on Chrome","org.example.tests.CartTest","testProductAddToCart"
"","16786","Verify login success with valid credentials","High Speed Suite","Sun Jan 11 17:45:25 UTC 2026","failed","Sun Jan 11 17:45:42 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginSuccess"
"","56233","DDT: Checkout with multiple data sets","High Speed Suite","Sun Jan 11 17:43:44 UTC 2026","passed","Sun Jan 11 17:44:41 UTC 2026","org.example.tests.CheckoutTest","Run on Chrome","org.example.tests.CheckoutTest","testCheckoutDataDriven"
"","8971","Positive test case","High Speed Suite","Sun Jan 11 17:43:57 UTC 2026","passed","Sun Jan 11 17:44:06 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
"","9638","Positive test case","High Speed Suite","Sun Jan 11 17:43:36 UTC 2026","passed","Sun Jan 11 17:43:46 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
"","7207","Verify login success with valid credentials","High Speed Suite","Sun Jan 11 17:44:42 UTC 2026","passed","Sun Jan 11 17:44:49 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginSuccess"
"","17210","Verify login success with valid credentials","High Speed Suite","Sun Jan 11 17:44:50 UTC 2026","failed","Sun Jan 11 17:45:07 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginSuccess"
"","26419","Test add new product","High Speed Suite","Sun Jan 11 17:46:34 UTC 2026","passed","Sun Jan 11 17:47:01 UTC 2026","org.example.tests.AddProductTest","Run on Chrome","org.example.tests.AddProductTest","testCreateProduct"
"","7206","testLoginFlows","High Speed Suite","Sun Jan 11 17:44:06 UTC 2026","passed","Sun Jan 11 17:44:14 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","20114","Positive test case","High Speed Suite","Sun Jan 11 17:43:05 UTC 2026","passed","Sun Jan 11 17:43:25 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
"","10343","Positive test case","High Speed Suite","Sun Jan 11 17:43:46 UTC 2026","passed","Sun Jan 11 17:43:57 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
"","5482","testLoginFlows","High Speed Suite","Sun Jan 11 17:44:36 UTC 2026","passed","Sun Jan 11 17:44:42 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","15732","Verify Search functionality","High Speed Suite","Sun Jan 11 17:43:05 UTC 2026","passed","Sun Jan 11 17:43:21 UTC 2026","org.example.tests.SearchTest","Run on Chrome","org.example.tests.SearchTest","testSearchProduct"
"","26721","DDT: Checkout with multiple data sets","High Speed Suite","Sun Jan 11 17:44:41 UTC 2026","broken","Sun Jan 11 17:45:08 UTC 2026","org.example.tests.CheckoutTest","Run on Chrome","org.example.tests.CheckoutTest","testCheckoutDataDriven"
"","57488","E2E: Guest User -> Cart -> Force Login -> Checkout -> Order Success","High Speed Suite","Sun Jan 11 17:45:08 UTC 2026","passed","Sun Jan 11 17:46:06 UTC 2026","org.example.tests.CheckoutTest","Run on Chrome","org.example.tests.CheckoutTest","testGuestCheckoutWithLoginRedirect"
"","5373","Verify Forgot Password Link","High Speed Suite","Sun Jan 11 17:45:59 UTC 2026","passed","Sun Jan 11 17:46:04 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testForgotPasswordLink"
"","7552","testLoginFlows","High Speed Suite","Sun Jan 11 17:44:21 UTC 2026","passed","Sun Jan 11 17:44:29 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","10347","Positive test case","High Speed Suite","Sun Jan 11 17:43:26 UTC 2026","passed","Sun Jan 11 17:43:36 UTC 2026","org.example.tests.RegistrationTest","Run on Chrome","org.example.tests.RegistrationTest","testRegisterFlow"
"","9888","Verify User can add a product to the cart","High Speed Suite","Sun Jan 11 17:43:21 UTC 2026","passed","Sun Jan 11 17:43:31 UTC 2026","org.example.tests.AddToCartTest","Run on Chrome","org.example.tests.AddToCartTest","testAddProductToCart"
"","6774","testLoginFlows","High Speed Suite","Sun Jan 11 17:44:29 UTC 2026","passed","Sun Jan 11 17:44:36 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginFlows"
"","17651","Verify login success with valid credentials","High Speed Suite","Sun Jan 11 17:45:07 UTC 2026","failed","Sun Jan 11 17:45:25 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginSuccess"
"","15901","Verify login success with valid credentials","High Speed Suite","Sun Jan 11 17:45:42 UTC 2026","failed","Sun Jan 11 17:45:58 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginSuccess"
"","27907","Test add new product","High Speed Suite","Sun Jan 11 17:46:06 UTC 2026","passed","Sun Jan 11 17:46:34 UTC 2026","org.example.tests.AddProductTest","Run on Chrome","org.example.tests.AddProductTest","testCreateProduct"
"","6823","Verify login functionality using ENTER key","High Speed Suite","Sun Jan 11 17:46:12 UTC 2026","passed","Sun Jan 11 17:46:19 UTC 2026","org.example.tests.LoginTest","Run on Chrome","org.example.tests.LoginTest","testLoginWithEnterKey"
"","29176","Test add new product","High Speed Suite","Sun Jan 11 17:47:01 UTC 2026","passed","Sun Jan 11 17:47:30 UTC 2026","org.example.tests.AddProductTest","Run on Chrome","org.example.tests.AddProductTest","testCreateProduct"
